name,name_en,biz_no,corp_no,entity_type,ceo_name,biz_type,biz_class,ksic_code,iaf_code,scope_kr,scope_en,address,address_en,tel,email,website,employee_count,headcount_regular,headcount_non_regular,headcount_outsourced,headcount_certified,status,tax_contact_name,tax_email,is_active
㈜건호정보통신,"GunHo Communication Co., Ltd.",515-81-19882,,,"이천석, 이효상","건설, 제조 외",통신설비공사 외,4232,28C,정보통신공사에 대한 시공,Construction of Information Telecommunication works,경상북도 경산시 원효로 317 (갑제동),"317, Wonhyo-ro, Gyeongsan-si, Gyeongsangbuk-do, KOREA",,,,0,,,,,,,gunho2121@daum.net,True
㈜명성씨앤에스,"Myung Sung Communication & System Co., Ltd.",504-81-61930,,,조기현,"건설업,제조업 외",통신공사 외,4232,28C,정보통신공사에 대한 시공,Construction of Information Telecommunication works,대구광역시 중구 태평로 275-9(동인동3가),"275-9, Taepyeong-ro, Jung-gu, Daegu, KOREA",,,,0,,,,,,,,True
㈜동아티엔씨,"DONGA-A TNC Co., Ltd.",603-81-36311,,,박봉근,제조,정보통신기기설치 외,"2642, 4232","19B,28C","Q : 항해, 통신장비(RADAR, GPS PLOTTER, MF/HF/VHF RADIO, INMARSAT)에 대한 생산 및 설치
EO : 통신장비에 대한 생산, 설치 및 부가서비스","Q : Manufacture, Installation of Navigation, Radio equipments(Radar, GPS Plotter, MF/HF/VHF Radio, INMARSAT)
EO : Manufacturing, Installation and Servicies of Electronic Equipment",부산광역시 서구 남부민로12번길 69(남부민동),"69, Nambumin-ro 12beon-gil, Seo-gu, Busan, KOREA",,,,0,,,,,,,dongatnc@hanmail.net,True
㈜동남정밀,"DongNam Co., Ltd.",608-81-89962,,,김동국,제조업,"자동차부품, 기계자동설비",3039,18A,"자동차용 부품(plate, pannel, cover류)에 대한 생산 ","Production for automotive parts (plate, pannel, cover)",경상남도 함안군 칠원읍 운무로 217-25 (운서리),"217-25, Unmu-ro, Chirwon-eup, Haman-gun, Gyeongsangnam-do, KOREA ",,,,0,,,,,,,dongnam0401@naver.com,True
비피테크,BP Tech,123-37-24617,,,박성주,"제조업,도매","전기장비,전기용 기계장비 및 관련기",2812,19A,"전력용 부스덕트, 전기절연물, 수배전반에 대한 설계, 개발, 생산 ","Design, Development, Manufactureing of Busduct system, Switchgear pannel, Insulation material.",경기도 군포시 엘에스로 13 신일IT 유토 1210호(당정동 2-3),"13, LS-ro, Dongan-gu, Anyang-si, Gyeonggi-do, KOREA",,,,0,,,,,,,bptech@naver.com,True
수성정보㈜,"SooSung Intelligence Co., Ltd.",502-81-38883,,,"이양희,김병대",건설업.도소매,통신공사 외,4232,28C,정보통신시설의 공사,Construction of Information Telecommunication works,대구광역시 수성구 국채보상로 1081 (만촌동),"1081, Gukchaebosang-ro, Suseong-gu, Daegu, KOREA",,,,0,,,,,,,kdb2580@daum.net,True
유신통신㈜,"You Shin Telecom Co., Ltd.",515-81-02547,,,이석환,건설업.도매 써비스,전기통신공사 외,4232,28C,정보통신공사의 시공,Construction of Information Telecommunication works,"대구광역시 수성구 국채보상로 914(5층, 호산빌딩)","(F5, Hosan B/D) 914, Gukchaebosang-ro, Suseong-gu, Daegu, KOREA",,,,0,,,,,,,justin@yusintel.com,True
㈜풍건,"Poong Gun Co., Ltd.",501-81-21109,,,장훈오,건설업.도소매.사업서비스,통신공사 외,4232,28C,정보통신시설 공사,Construction of Information Telecommunication works,대구광역시 동구 방천로1길 67-1 (불로동),"67-1, Bangcheon-ro 1-gil, Dong-gu, Daegu, KOREA ",,,,0,,,,,,,pg1232@daum.net,True
㈜태창테크,TAE CHANG TECH,606-86-29435,,,임종준,제조업,조선기자재,"2511, 1419","17B,04B",구조용 금속제품 및 안전보호복의 설계 및 생산,Design and Production of Structural Metal Product and Protective Clothing,부산광역시 강서구 경전철로 208-1 (대저1동),"208-1, Gyeongjeoncheol-ro, Gangseo-gu, Busan, KOREA ",,,,0,,,,,,,tj2408@naver.com,True
㈜선택,"SUNTECH Co., Ltd.",503-81-48759,,,"노병선, 정응호","제조, 건설, 도매",공기조화기 외,"4232, 4231",28C,"정보통신공사, 전기공사, 기계설비공사, 지열에너지공사, 소방시설공사, 공조(냉난방기)설비공사 및 유지보수","Construction of Information Telecommunication, Electric works, Machinery Equipment, Geothermal Energy, Firefighting facility construction, HVAC system","대구광역시 서구 와룡로 307, 4층 415호 (중리동, 디센터)","#415, 307, Waryong-ro, Seo-gu, Daegu, KOREA",,,,0,,,,,,,,True
동진통신㈜,"DONGJIN COMMUNICATION Co., Ltd.",504-81-56117,,,김영섭,"제조,건설",정보통신공사외,4232,28C,정보통신시설의 공사,Construction of Information & Telecommunication works,대구광역시 동구 서촌로 98-2 (송정동),"98-2, Seochon-ro, Dong-gu, Daegu, KOREA ",,,,0,,,,,,,,True
야베스정보통신㈜,"YABES TELECOMMUNICATION Co., Ltd.",515-81-23203,,,허홍,"건설,제조,도소매,서비스","통신공사,CCTV,통신기자재 외",4232,28C,정보통신공사에 대한 시공,Construction of Information Telecommunication Work,경상북도 경산시 와촌면 대동로 237-7,"237-7, Daedong-ro, Wachon-myeon, Gyeongsan-si, Gyeongsangbuk-do, KOREA ",,,,0,,,,,,,bez1800@hanmail.net,True
에이치제이테크,HJ TEC,504-24-18954,,,이규수,제조업,도금,2592,17B,자동차 부품도금(H/REST 등) 및 기타부품도금,Plating with Niekel of Parts for Automobile such as Head Rest and other Products,대구광역시 북구 노원로39길 29 (침산동),"29, Nowon-ro 39-gil, Buk-gu, Daegu, KOREA ",,,,0,,,,,,,kyusu7933@hanmail.net,True
삼남엔지니어링,SAMNAM ENG,132-01-36613,,,정진홍,"제조,도매,도소매","철구조물,볼트 외",2511,17B,철 구조물 볼트 너트의 제조,"Steel Structures, Bolt and Nut Manufacturing",경기도 남양주시 수동면 남가로 1522-16 (운수리),"1522-16, Namga-ro, Sudong-myeon, Namyangju-si, Gyeonggi-do, KOREA ",,,,0,,,,,,,,True
㈜오타종패키징퍼시픽,"Autajon Packaging Pacific Co., Ltd.",317-81-18784,,,조규정,"제조업, 부동산업","옵셋인쇄, 기타출판,임대","1721, 1722, 1811","07A,09A","포장용 상자(뷰티 패키지)에 대한 설계, 개발 및 생산","Design, Development, Manufacture of carton boxes(Beauty Package)","충청남도 천안시 동남구 동면 충절로 2294-35, 1층","1st floor, 2294-35, Chungjeol-ro, Dong-myeon, Dongnam-gu, Cheonan-si, Chungcheongnam-do, KOREA ",,,,0,,,,,,,hjh0725@pacificpackage.co.kr,True
한국정보네트웍스㈜,"KOREA INFO-TELECOM NETWORKS Co., Ltd.",502-81-72784,,,이준우,"건설,도소매",정보통신공사 외,4232,28C,정보통신시설의 공사,Construction and Servicing of Communication Works,대구광역시 수성구 용학로 182 (지산동) ,"182, Yonghak-ro, Suseong-gu, Daegu, KOREA",,,,0,,,,,,,binggo99@daum.net,True
금강통신㈜,"KUMGANG TELECOM Co., Ltd.",618-81-23083,,,이영자,"건설업,제조업 외","전기,통신공사 외","4232, 4231, 2812, 2641, 2842, 2642","28C,19A,19B","정보통신, 전기공사 시공과 계장(계측)제어장치, 자동제어반, 배전반, 구내방송장치, 전광판, CCTV 시스템 생산, 설치 및 부가서비스","Construction and Servicing of Telecommunication Works, Electric Works.
Design, Manufacture and servicing of Instrument and Control Device, Automatic Control Panel, Distributing Board, Premises Broadcasting Equipment,  Electronic Quotation Board and  CCTV System",부산광역시  금정구 개좌로 266-19(회동동),"266-19, Gaejwa-ro, Geumjeong-gu, Busan, KOREA",,,,0,,,,,,,kk5153@hanmail.net,True
영광스틸,YOUNG GWANG STEEL Co.,606-16-58413,,,최인호,"제조,부","주강스텐밸브,임대",2411,17A,"주강, 특수강 및 스텐 주조품의 생산","Production of Cast Steel, Special Steel and Stainless Casting",부산광역시 사상구 모덕로 101-12(모라동),"101-12, Modeok-ro, Sasang-gu, Busan, KOREA ",,,,0,,,,,,,chio3699@naver.com,True
㈜부산철강,"BUSANSTEEL Co., Ltd.",606-81-32537,,,오규석,"도매,서비스","스텐,철판류 외",2411,17A,"스테인리스 강판, 강대 및 무계목 강관에 대한 가공","Processing of stainless plates, sheets, strip and seamless pipe & Tube",부산광역시 강서구 송정길 29(송정동),"(Songjeong-dong) 29, Songjeong-gil, Gangseo-gu, Busan, KOREA ",,,,0,,,,,,,,True
㈜태림,"TAELIM Co., Ltd.",505-81-12640,,,"고순란, 채영민","건설업,서비스",통신공사 외,4232,28C,정보통신공사에 대한 시공,Construction for Information and Telecommunication Work,경상북도 영천시 양지길 23(화룡동),"23, Yangji-gil, Yeongcheon-si, Gyeongsangbuk-do, KOREA ",,,,0,,,,,,,wnxofla@hanmail.net,True
㈜해원에스엠,"HAEWON SM Co., Ltd.",135-86-32796,,,현기웅,"제조,도매","환경,에너지 기기 외","2890, 2224, 2041","19A,14B,12B","1. 차광필름(휴대폰 및 자동차용)에 대한 생산 및 부가서비스
2. 친환경 세라믹 코팅 제품에 대한 설계, 개발 및 생산","1. Manufacture and Servicing of Shading film (for smart phones and automobiles)
2. Design, development and production of eco-friendly ceramic coating products","경기도 화성시 정남면 정남산단로 19-10, 1층","19-10, Jeongnamsandan-ro, Jeongnam-myeon, Hwaseong-si, Gyeonggi-do, KOREA ",,,,0,,,,,,,hwge@ecount.co.kr,True
㈜대세기연,"DAE SAE GI YEON Co., Ltd.",312-86-51783,,,김형배,"제조,도매","케이블,전기전자 외",2890,19A,전기전자부품(플레이트 케이블)에 대한 생산,Production of Electrical and electronic component for Plate Cables,경기도 화성시 정남면 정남산단로 19-10,"19-10, Jeongnamsandan-ro, Jeongnam-myeon, Hwaseong-si, Gyeonggi-do, KOREA ",,,,0,,,,,,,dsgy11@hometax.go.kr,True
㈜빅스타건설,"BIG STAR CONSTRUCTION Co., Ltd.",504-81-21433,,,신태노,건설,"조경시설,통신,포장공사,토목건축공사,주택사업외",4232,28C,정보통신시설의 공사,Construction of Telecommunication Works,"경상북도 경주시 충현로 13, 4호 (충효동)","13, Chunghyeon-ro, Gyeongju-si, Gyeongsangbuk-do, KOREA",,,,0,,,,,,,,True
동서통신㈜,"DONGSEO TELECOM Co., Ltd.",515-81-08648,,,"박영하, 박진형","건설업,도소매,서비스","통신공사,통신기자재,인력공급업,소프트웨어개발및공급",4232,28C,정보통신공사의 설치,Installation of Information Telecommunication Works,경상북도 경산시 와촌면 와천동길 132 (상암리),"132, Wacheondong-gil, Wachon-myeon, Gyeongsan-si, Gyeongsangbuk-do, KOREA",,,,0,,,,,,,,True
주식회사지엔브이,"GNV Co., Ltd.",615-81-83234,,,이용문,"제조업, 부동산업 및 임대업","세라믹코팅,초경코팅,메탈라이징 외",2592,17B,"프라즈마(세라믹)코팅, 초경코팅 및 메탈라징의 처리","Plasma(Ceramic) coating, Carbide coating and Metallizing Processing",경상남도 김해시 한림면 용덕로302번길 96 (한림면),"96, Yongdeok-ro 302beon-gil, Hallim-myeon, Gimhae-si, Gyeongsangnam-do, KOREA ",,,,0,,,,,,,gnv10@daum.net,True
㈜이화인더스,"EHWA INDUS Co., Ltd.",410-81-90052,,,이순희,제조,"고무제품, 금형",2219,14A,"고무제품(자동차용, 가정용, 방진고무 등 산업용)의 생산 ","Manufacture of Rubber Products(Automobile, Electric Home Appliances and Vibration proof Rubber for Industrial)",광주광역시 광산구 장덕동 972-5,"972-5, Jangdeok-dong, Gwangsan-gu, Gwangju, KOREA",,,,0,,,,,,,,True
㈜금강엘엠이,"KUMKANG LME Co., Ltd.",603-81-82270,,,이상원,제조업,"금속열처리,도금및기타 피막처리",2592,17B,용융아연도금의 생산,Production of Hot Dip Galvanizing,부산광역시 사하구 다산로225번길 44(장림동),"44, Dasan-ro 225beon-gil, Saha-gu, Busan, KOREA",,,,0,,,,,,,kk4507@bill36524.com,True
라인테크_,"LINE Tech Co., Ltd.",514-19-58809,,,안미숙,제조업,자동차부품,"2594, 3039","17B,18A",자동차 부품(스프링 및 로드류) 제작,Manufacture of Part a Kind's Spring and Rod for Automobile,대구광역시 달성군 하빈면 하목정길 10 (하산리),"10, Hamokjeong-gil, Habin-myeon, Dalseong-gun, Daegu, KOREA",,,,0,,,,,,,ssan0706@daum.net,True
동일통신㈜,"DONG IL TELECOM Co., Ltd.",515-81-08411,,,황보 유,건설업외,"통신공사, 전기공사 외","4232, 4231",28C,통신공사 및 전기공사의 시공 ,Construction of Communication Works & Electric Works,경상북도 경산시 화랑로 126 (갑제동),"126, Hwarang-ro, Gyeongsan-si, Gyeongsangbuk-do, KOREA",,,di7724@hanmail.net,0,,,,,,,di7724@hanmail.net,True
태연산업전기,TAE-YEON INDUSTRIAL ELECTRIC,135-11-88991,,,임동영,"제조업,도소매",전기경보및신호장치 외,2842,19A,"방폭기기(내압, 비점화, 안전증, 분진), LED등기구(가로등, 보안등, 터널등)의 설계, 개발 및 생산","Design, Development, Manufacturing of Explosion Protect Instruments(Flameproof Enclosure, Non Sparking, Increased Safety, Dust), LED Lighting Fixtures(Street Lighting, Safety Lighting, Tunnel Lighting)",경기도 광주시 초월읍 동막골길 112-29,"112-29, Dongmakgol-gil, Chowol-eup, Gwangju-si, Gyeonggi-do, KOREA ",,,,0,,,,,,,tyie2013@naver.com,True
사회복지법인 성만원,Social Welfare Foundation Sungmanwon,142-82-03461,,,공성옥,제조업,"조명기구, 배전반",2842,19A,"형광등기구, 매입형 및 고정형 LED등기구, LED 센서등기구, LED 등기구(가로등, 보안등, 터널등, 투광등, 경관조명, 방폭등, 수중조명등 ), 일반조명 등기구(투광등, 경관조명, 가로등, 보안등, 터널등, 탐조등, 센서등, 수중조명등, 다운라이트 설비 ), 컨버터 내장형 LED 램프에 대한 설계, 개발, 생산 ","Design, Development, Manufacturing of Flourescent Lighting Fixture, Recessed and Fixed LED Luminaires, LED sensor Luminaires, LED Lighting Luminaire(Street light, Security light, Tunnel light, Flood light, Scenery light, Explosion proof light, Under water light), Light Apparatus(Fiood light, Down light fixture, Scenery light, Street light, Security light, Tunnel light, sensor light, search light, Under water light)",경기도 용인시 처인구 백암면 죽양대로912번길 78 (백암면),"78, Jugyang-daero 912beon-gil, Baegam-myeon, Cheoin-gu, Yongin-si, Gyeonggi-do, KOREA",,,we03461@naver.com,0,,,,,,,kdogyun@hanmail.net,True
삼화㈜,"SAMHWA Co., Ltd.",606-86-41287,,,고봉석,제조업 도매 도소매,"플라스틱,플라스틱산업기계외",2221,14B,플라스틱 제품의 제조(가공) ,Manufacture(Processing) of Plastic Product,부산광역시 사상구 모덕로 38 (삼락동),"38, Modeok-ro, Sasang-gu, Busan, KOREA",,,sh3191890@naver.com,0,,,,,,,sh3191890@naver.com,True
플럭스라이트㈜,"Fluxlite Co., Ltd.",131-81-90576,,,이활,제조업.도매업,조명기기.등기구 외,2842,19A,"LED 등기구(가로등, 보안등, 터널등, 투광등), 매입형 및 고정형 LED 등기구(LED 다운라이트, LED 실내조명등)에 대한 개발/설계, 생산 ","Design, Development, Manufacturing of LED Lighting Luminaires(Street light, Security light, Tunnel light, Flood light), Recessed and Fixed LED Lumianires(LED down light, LED indoor light).",강원도 횡성군 공근면 아이티밸리길 17 (초원리),"17, IT valley-gil, Gonggeun-myeon, Hoengseong-gun, Gangwon-do, KOREA ",,,,0,,,,,,,sun@fluxlitekorea.co.kr,True
㈜하이텍검사,"HIGHTEC INSPECTION Co., Ltd.",609-86-12855,,,정양우,"서비스업, 제조업","기술시험검사및분석업, 금속열처리업",7291,34A,선박에 대한 비파괴 검사 및 분석,Non-destructive inspection and analysis of ships,"경상남도 창원시 진해구 신항4로 58, 409호 (용원동,오송스퀘어)","58, Sinhang 4-ro, Jinhae-gu, Changwon-si, Gyeongsangnam-do, KOREA ",,,,0,,,,,,,hightec1@hanmail.net,True
㈜에스티라이팅,"ST Lighting Co., Ltd.",125-86-13579,,,이홍년,"제조업,도소매","일반용전기조명장치, LED조명등기구","2842, 2841, 2811",19A,"가로등기구(가로등, 보안등, 터널등), 경관조명등기구, 고압방전등용안정기 및 고압방전램프, LED램프(컨버터 내장형), LED 등기구( 가로등, 보안등, 투광등, 터널등, 경관등), 신재생에너지 가로등(태양관, 하이브리드), 가로등주(철재, 스테인레스, 테퍼형, 복합형, 가로등주 부속자재), 조명타워에 대한 설계, 개발 및 생산 ","Design, Development & Manufacturing of Street lighting fixtures( Street lighting, Security lighting, Tunnel lighting), Landscape lighting, High Intensity Discharge Ballast and Lamp(Sodium, Metal halide, Mercury).  LED Lamp(Converter internal orgns type), LED Street lighting  fixtures(Street lighting, Security lighting, Tunnel lighting, Flood lighting,  Landscape lighting ), New regeneration energy Street lighting fixtures(solar energy, hybrid),  Street Lighting Pole(Steel, Stainless, Tapper, Combine type, Accessory Meterial), Ligting Tower.",충청남도 아산시 신창면 순천향로 223-13 ,"223-13, Soonchunhyang-ro, Sinchang-myeon, Asan-si, Chungcheongnam-do, KOREA ",,,,0,,,,,,,stlig@naver.com,True
㈜이앤앤이,"ENNE Co., Ltd.",314-81-61638,,,주숙희,"건설업, 건설,도소매","건축,토목공사,전기공사 외","4122, 4212, 4213, 4240","28B,28C","토목공사, 조경공사, 실내인테리어공사, 보링그라우팅공사 및 철근 콘크리트 공사","Public work, Landscaping work, Interior work, boring grouting work, Ferroconcrete construction","서울특별시 송파구 송파대로 201, A동 1101(문정동, 송파테라타워2)","201, Songpa-daero, Songpa-gu, Seoul, KOREA ",,,,0,,,,,,,2020enne@daum.net,True
GS팩킹,GS Packing,609-03-53251,,,김중열,제조업,"제재소,목상자",1623,06A,"포장, 운반 용기(목재 파렛트)의 제조","Manufacture of Packing, Transportation, Container(Wool Palet)",경상남도 창원시 의창구 동읍 동읍로 691,"691, Dongeup-ro, Dong-eup, Uichang-gu, Changwon-si, Gyeongsangnam-do, KOREA",,,yyl8034@nate.com,0,,,,,,,gusanpacking@naver.com,True
지오라이팅,GEO LIGHTING CO.,125-16-93191,,,배형구,"제조, 도소매","산업용 등기구, LED조명등 외",2842,19A,"가로등기구(가로등, 보안등, 터널등), 경관조명등기구, 고압방전등용안정기 및 고압방전램프, LED램프(컨버터 내장형), LED 등기구(매입형 및 고정형, 가로등, 보안등, 투광등, 터널등, 경관등), 신재생에너지 가로등(태양관, 하이브리드), 가로등주(철재, 스테인레스, 테퍼형, 복합형, 가로등주 부속자재), 조명타워에 대한 설계, 개발 생산 및 부가서비스","Design, Development, Manufacturing & Service of Street lighting fixtures(Street lighting, Security lighting, Tunnel lighting), Landscape lighting, High Intensity Discharge Ballast and Lamp(Sodium, Metal halide, Mercury).  LED Lamp(Converter internal orgns type), LED Street lighting  fixtures(Recessed and Fixed lighting, Street lighting, Security lighting, Tunnel lighting, Flood lighting,  Landscape lighting), New regeneration energy Street lighting fixtures(solar energy, hybrid),  Street Lighting Pole(Steel, Stainless, Tapper, Combine type, Accessory Meterial), Ligting Tower",경기도 안성시 미양면 마산길 99-10,"99-10, Masan-gil, Miyang-myeon, Anseong-si, Gyeonggi-do, KOREA",,,,0,,,,,,,sklighting@naver.com,True
비엔에프테크 주식회사,"B&F Technology Co., Ltd.",610-81-81022,,,이종운,제조업,자동차부품(자동차엔진부품),3031,18A,자동차 부품(엔진부품)에 대한 제조,Manufacturing of an engine parts for automobiles,울산광역시 울주군 두서면 반구대로 1635-14 (서하리),"1635-14, Bangudae-ro, Duseo-myeon, Ulju-gun, Ulsan, KOREA",,,king76x@naver.com,0,,,,,,,,True
코리아갈바㈜,"KOREA GALVA Co., Ltd.",615-81-18922,,,허혁필,제조,"용융아연도금,열처리",2511,17B,그레이팅의 제조 ,Production of Grating,경상남도 김해시 주촌면 서부로1637번길 344 (덕암리),"344, Seobu-ro 1637beon-gil, Juchon-myeon, Gimhae-si, Gyeongsangnam-do, KOREA ",,,kgg0173@naver.com,0,,,,,,,,True
한국신축관,CES(Corea Expansion Sts-piping Corp.),126-20-83164,,,진영기,"제조, 도소매","조인트,플렉시블 외","2919, 2221","14B,18A","금속주름관, 소화용스프링쿨러, 플렉시블조인트, 래듀사, 가스용플렉시블호스, 진동흡수용펌프이음, 플렉시블 및 익스팬션 조인트의 생산 및 부가서비스","Production and Servicing of Corrugated Metal Tube, Flexible, Joints Including Fitting & Reducers for Sprinkler Systems, Fllexible Tubing Including Fittings for Gas & Water Supply Systems, Flexible Metal Pump Connectors, Flexible Joints and Expansion Joints","경기도 성남시 중원구 사기막골로62번길 37 (상대원동, 스타타워)","37, Sagimakgol-ro 62beon-gil, Jungwon-gu, Seongnam-si, Gyeonggi-do, KOREA ",,,babyjin85@naver.com,0,,,,,,,,True
㈜예성전기통신,"YESUNG ELECTRONIC & COMMUNICATION Co., Ltd.",508-81-10020,,,"최홍철, 최용재","건설,제조업 외",전기공사 외,"4232, 4231, 4220","28C,28D","정보통신공사, 전기공사, 소방시설공사 및 서비스","Information and communication construction, electrical construction, firefighting facility construction and service",대구광역시 북구 유통단지로24길 11 (산격동),"11, Yutongdanji-ro 24-gil, Buk-gu, Daegu, KOREA ",,,,0,,,,,,,,True
주식회사 세우스틸,"Saewoo Still Co., Ltd.",150-88-00716,,,김형근,제조업,"건설자재, 자동차부품",2413,17A,파이프 서포트 생산,Manufacture of Pipe Supports,경상남도 사천시 곤양면 경충로 1666 (맥사리),"1666, Gyeongchung-ro, Gonyang-myeon, Sacheon-si, Gyeongsangnam-do, KOREA ",,,,0,,,,,,,,True
미래금속㈜,"MIRAE METAL Co., Ltd.",606-86-52479,,,전두진,제조,"숏트, 열처리외","2421, 2592","17A,17B",쇼트 및 금속열처리,Shot and Metal Heat Treatment,부산광역시 사상구 장인로 77 (학장동),"77, Jangin-ro, Sasang-gu, Busan, KOREA ",,,,0,,,,,,,,True
㈜성진프린텍,"SUNGJIN PRINTEC Co., Ltd.",135-86-37904,,,전병관,제 조 업,전 자 부 품,1790,07A,"라벨, 스티커 및 발포 시트류에 대한 설계, 생산 및 부가서비스","Design, Development and Production for Labels, Stickers and Foam sheets",경기도 화성시 안녕길 50-15,"50-15, Annyeong-gil, Hwaseong-si, Gyeonggi-do, KOREA",,,,0,,,,,,,sungjin@hanmail.net,True
티에스마린㈜,"TS MARINE Co., Ltd.",602-81-60201,,,이기태,제조업.서비스,선박부품구성품.선박임가공,2911,18A,선박용 철구조물 및 부품류의 생산 및 서비스,Production and Service of Steel Structure and Parts for Marline  ,부산광역시 사하구 구평로 21-4,"21-4, Gupyeong-ro, Saha-gu, Busan, KOREA ",,,,0,,,,,,,,True
주식회사 미래금속테크,"MIRAE METAL TECH Co., Ltd.",516-86-01376,,,전두진,제조업,"표면처리, 비철금속","2421, 2592","17A,17B","금속표면처리, 쇼트 및 전해연마","Metal Surface Treatment, Shot and Electrolytic Polishing",부산광역시 사상구 새벽로17번길 55 (학장동),"55, Saebyeok-ro 17beon-gil, Sasang-gu, Busan, KOREA",,,,0,,,,,,,msus0054@naver.com,True
(주)유성,"U-Sung Co., Ltd.",505-81-20927,,,양주열,제조업,자동차 부품,2224,14B,"플라스틱 성형부품(INST Panel, Bumper, Glove Box, Spoiler, Skid 및 Mudguard)에 대한 생산","Manufacturing of Plastic Forming Parts such as INST Panel, Bumper, Glove Box, Spoiler, Skid and Mudguard",경상북도 영천시 대창면 금박로 937 (사리리),"937, Geumbak-ro, Daechang-myeon, Yeongcheon-si, Gyeongsangbuk-do, KOREA ",,,,0,,,,,,,,True
